p_name,spec_type,authors,num_datapoints,instrument,facility,minwavelength,maxwavelength,mintranmid,maxtranmid
2MASS J01033563-5515561 AB b,Direct Imaging,M&acirc;lin et al. 2025,10920,Mid-Infrared Instrument (MIRI) - MRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,4.9004,24.485,,
2MASS J12073346-3932539 b,Direct Imaging,Luhman et al. 2023,17434,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.9701,5.269,2459982.5,2459982.5
51 Eri b,Direct Imaging,Macintosh et al. 2015,74,Gemini Planet Imager (GPI),Association of Universities for Research in Astronomy (AURA) 8.1m Gemini South Telescope at Cerro Pachon,1.1141,1.7974,2457006.5,2457037.5
51 Eri b,Direct Imaging,Samland et al. 2017,29,SPHERE - IFS,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Melipal (UT3) at Paranal Observatory,0.9814,1.3292,2457290.5,2457290.5
51 Eri b,Direct Imaging,Samland et al. 2017,33,SPHERE - IFS,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Melipal (UT3) at Paranal Observatory,1.0093,1.6407,2457290.5,2457290.5
51 Eri b,Direct Imaging,Samland et al. 2017,5,SPHERE - IRDIS,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Melipal (UT3) at Paranal Observatory,1.589,2.255,2457290.5,2457290.5
51 Eri b,Direct Imaging,Rajan et al. 2017,74,Gemini Planet Imager (GPI),Association of Universities for Research in Astronomy (AURA) 8.1m Gemini South Telescope at Cerro Pachon,1.8861,2.3964,2457332.5,2457332.5
51 Eri b,Direct Imaging,Rajan et al. 2017,2,NIRC2 Camera,W. M. Keck Observatory,3.776,4.67,2457322.5,2457389.5
55 Cnc e,Eclipse,Demory et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,
55 Cnc e,Eclipse,Demory et al. 2012,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,
55 Cnc e,Eclipse,Hu et al. 2024,9,Mid-Infrared Instrument (MIRI),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,6.5825,11.4545,2460027.5,2460027.5
55 Cnc e,Eclipse,Hu et al. 2024,21,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.965,4.965,2459907.5,2459907.5
